,title,director,cast,listed_in,description,lower
105,The Politician,,"Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett","TV Comedies, TV Dramas, Teen TV Shows",rich kid payton known he go presid navig treacher polit landscap high school,the politician
106,Weeds on Fire,Chi Fat Chan,"Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb","Dramas, Independent Movies, International Movies",1980 hong kong school princip form basebal team eclect crew local student soon fight way leagu,weeds on fire
107,Much Loved,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere","Dramas, Independent Movies, International Movies",friend live prostitut morocco deal danger stigma come profess,much loved
108,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett","Children & Family Movies, Dramas, Faith & Spirituality",gift dream interpret brilliantli color coat joseph inspir jealousi brother anim bibl stori,joseph: king of dreams
109,Malaal,Mangesh Hadawale,"Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle","International Movies, Romantic Movies",class divid thorn bud romanc croni nativist mumbai politician new north indian resid chawl,malaal
110,The Grandmaster,Wong Kar Wai,"Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Xiao Shen-Yang, Zhao Benshan, Song Hye-kyo, Wang Qingxiang, Zhang Jin, Lo Hoi-pang, Cung Le, Julian Cheung","Action & Adventure, Dramas, International Movies",japanes invas loom chines kung fu master ip man world chang rival master gong er father arriv villag,the grandmaster
111,The Inmate,,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",marin pose inmat insid mexican prison order infiltr gang suspect kidnap judg teen daughter,the inmate
112,The Hurricane Heist,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler",Action & Adventure,deadli hurrican milehigh wave provid perfect cover steal 600 million treasuri outpost mississippi,the hurricane heist
113,Def Comedy Jam 25,Louis J. Horvitz,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole",Stand-Up Comedy,special live event giant standup come commemor 25th anniversari russel simmonss groundbreak def comedi jam,def comedy jam 25
114,Restless Creature: Wendy Whelan,"Linda Saffire, Adam Schlesinger","Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett",Documentaries,30 year new york citi ballet celebr dancer wendi whelan redefin artist new stage life,restless creature: wendy whelan
115,Print the Legend,"Luis Lopez, Clay Tweel",,Documentaries,awardwin origin documentari chronicl race market leadership 3d print wave technolog evolut,print the legend
116,Birders,Otilia Portillo Padua,,"Documentaries, International Movies",bird watcher side usmexico border share enthusiasm protect preserv world beauti speci,birders
117,Furie,Le Van Kiet,"Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa","Action & Adventure, Dramas, International Movies",traffick kidnap daughter villag veng hai phuong return saigon – outlaw root – abductor,furie
118,Leap!,"Eric Summer, Éric Warin","Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen","Children & Family Movies, Comedies",félici victor young friend 1880 franc escap orphanag pursu dream pari glitter citi light,leap!
119,Oh! Baby (Malayalam),B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi","Comedies, International Movies, Music & Musicals",surli septuagenarian get chanc 20 have photo snap studio magic take 50 year life,oh! baby (malayalam)
120,Oh! Baby (Tamil),B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi","Comedies, International Movies, Music & Musicals",surli septuagenarian get chanc 20 have photo snap studio magic take 50 year life,oh! baby (tamil)
121,USS Indianapolis: Men of Courage,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris",Action & Adventure,strand philippin sea world war ii tenaci navi crew face dire lack suppli string shark attack,uss indianapolis: men of courage
122,A Wrinkle in Time,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson",Children & Family Movies,year father disappear meg younger brother charl wallac cross galaxi quest save heart dark,a wrinkle in time
123,Teach Us All,Sonia Lowman,,Documentaries,decad brown v board educ american school remain larg segreg leader work chang,teach us all
124,White Island,Benjamin Turner,"Lyndon Ogbourne, Billy Zane, Billy Boyd, Joel Dommett, Elliot Gleave, Gala Gordon, Darren Day, Owain Arthur, Craig Gazey, Ben Cura","Comedies, Independent Movies, Thrillers",return ibiza year walk straight narrow london connor fall crimin crowd like left,white island
125,Inside Man: Most Wanted,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok",Action & Adventure,hotshot nypd negoti butt head fbi meet match meticul crimin mastermind attempt rob feder reserv,inside man: most wanted
126,Jeff Dunham: Beside Himself,Troy Miller,Jeff Dunham,Stand-Up Comedy,jeff dunham take stage dalla old pal peanut walter josé jalapeño bubba j achm poke fun american cultur,jeff dunham: beside himself
127,China Salesman,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian","Action & Adventure, International Movies",chines engin travel wartorn african countri rebuild telecommun instead find massiv corrupt explos danger,china salesman
128,Swearnet: The Movie,Warren P. Sonoda,"Mike Smith, John Paul Tremblay, Robb Wells, Patrick Roach, Mishael Morgan, Sarah Jurgens, Shannon Leroux, Dana Woods, Howard Jerome, Tom Green","Comedies, International Movies",lose tv network deal trailer park boy launch internet seri soon confront person creativ differ,swearnet: the movie
129,The Bar,Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada","Comedies, Horror Movies, International Movies",stranger hole madrid bar wit murder begin turn panic set bodi count rise,the bar
130,Manmadhudu 2,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti","Comedies, Dramas, International Movies",pressur marri perenni bachelor hire younger woman act fiancé bond famili throw plan loop,manmadhudu 2
131,Team Kaylie,,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley","Kids' TV, TV Comedies",brush law teen celebr kayli konrad swap social stardom courtord chao middl school wilder club leader,team kaylie
132,Under the Eiffel Tower,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole","Comedies, Independent Movies, Romantic Movies",american man midst midlif crisi travel french countrysid new leas life,under the eiffel tower
133,Audrie & Daisy,"Bonni Cohen, Jon Shenk",,Documentaries,wrench documentari teen sexual assault boy consid friend humili onlin harass commun,audrie & daisy
134,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,Iliza Shlesinger,Stand-Up Comedy,standup sensat tackl tv shark tank mean woman deal lawless parti goblin live,iliza shlesinger: confirmed kills
135,BONDING,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould","TV Comedies, TV Dramas",new york citi grad student moonlight dominatrix enlist gay bff high school assist,bonding
136,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman","Dramas, Independent Movies, International Movies",sex worker hire gay songwrit care disabl son ensu bond form offer complex portray love famili,do paise ki dhoop chaar aane ki baarish
137,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega","Documentaries, Music & Musicals",winner 2014 academi award best documentari featur film take look world backup vocalist legend support,20 feet from stardom
138,In Darkness,Anthony Byrne,"Natalie Dormer, Ed Skrein, Emily Ratajkowski, Neil Maskell, Jan Bijvoet, James Cosmo, Joely Richardson","Independent Movies, International Movies, Thrillers",blind pianist fear life suspici death neighbor daughter businessman accus war crime,in darkness
139,Gaga: Five Foot Two,Chris Moukarbel,Lady Gaga,"Documentaries, Music & Musicals",follow pop provocateur ladi gaga releas new album prep super bowl halftim confront physic emot struggl,gaga: five foot two
140,The Bad Batch,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross","Dramas, Independent Movies, Thrillers",banish wasteland undesir young woman struggl feet drugsoak desert societi enclav cannib,the bad batch
141,SMOSH: The Movie,Alex Winter,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin",Comedies,teen crush spot embarrass youtub video anthoni friend ian enter virtual world alter clip,smosh: the movie
142,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja","Dramas, International Movies",power businesswoman ’ s polit ambit threaten underworld connect ensu power struggl cost,king of boys
143,Merry Men: The Real Yoruba Demons,Toka McBaror,"Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru","Comedies, International Movies",richest bachelor abuja nigeria enjoy life fast car palati home femal attent conceal true activ,merry men: the real yoruba demons
144,Sarah's Key,Gilles Paquet-Brenner,"Aidan Quinn, Kristin Scott Thomas, Frédéric Pierrot, Michel Duchaussoy, Dominique Frot, Niels Arestrup, Mélusine Mayance, Gisèle Casadesus, Natasha Mashkevich","Dramas, International Movies",pari 1942 protect brother polic arrest jewish famili young girl hide away promis come,sarah's key
145,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,"Enyinna Nwigwe, Daniella Down, Banky Wellington, Adesua Etomi, Somkele Iyamah, Iretiola Doyle, Sola Sobowale, Michael De Pinna, Lynita Crofford, Patience Ozokwor","Comedies, International Movies, Romantic Movies",sequel 2016 hit wed parti coupl date night end accident propos spark seri chaotic famili event,the wedding party 2: destination dubai
146,Vagabond,,"Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra","International TV Shows, Korean TV Shows, TV Action & Adventure",nephew die plane crash stunt man cha dalgeon resolv happen help covert oper haeri,vagabond
147,Battlefish,,,"Reality TV, Science & Nature TV, TV Action & Adventure",cours fish season tough men women pursu lucr albacor tuna competit water oregon coast,battlefish
148,DRAGON PILOT: Hisone & Masotan,,"Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata","Anime Series, International TV Shows",recent station air selfdefens forc rooki hison amakasu chosen dragon conceal gifu air base pilot,dragon pilot: hisone & masotan
149,Hilda,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker",Kids' TV,fearless freespirit hilda find new friend adventur magic creatur leav enchant forest home journey citi,hilda
150,Maniac,,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke","TV Comedies, TV Dramas, TV Mysteries",struggl stranger connect mindbend pharmaceut trial involv doctor mother issu emot complex,maniac
151,Quincy,"Rashida Jones, Alan Hicks",Quincy Jones,"Documentaries, Music & Musicals",documentari profil music cultur icon quinci jone offer unpreced access privat life stori unparallel career,quincy
152,Rafinha Bastos: Ultimatum,,Rafinha Bastos,Stand-Up Comedy,offcolor joke nearli cost brazilian comic rafinha basto talk divorc find love,rafinha bastos: ultimatum
153,The Good Cop,,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.","Crime TV Shows, TV Comedies, TV Dramas",he solv murder patholog honest detect tri eye crook kindheart dad,the good cop
154,Between Two Ferns: The Movie,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell",Comedies,arm awkward question zero selfawar zach galifianaki hit road famou interview subject nobudget talk,between two ferns: the movie
155,Criminal: France,,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier","Crime TV Shows, International TV Shows, TV Dramas",secret emerg entir case unravel insid polic interview room pari suspect investig face intric danc,criminal: france
156,Criminal: Germany,,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora","Crime TV Shows, International TV Shows, TV Dramas",interview room detect headtohead suspect tri truth – mean break rule risk,criminal: germany
157,Criminal: Spain,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",psycholog game abound detect suspect tens interrog room search answer come moral cost,criminal: spain
158,Criminal: UK,,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","British TV Shows, Crime TV Shows, International TV Shows",wall interrog room time run london investig suspect accus grievou crime,criminal: uk
159,Daddy Issues,Amara Cash,"Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins","Dramas, Independent Movies, LGBTQ Movies",maya final hook onlin dream girl discov she ’ s deepli involv older sugar daddi – man maya know,daddy issues
